Year?,Tm,Lg,G,W,L,Ties,W-L%,pythW-L%,Finish,GB,Playoffs,R,RA,Attendance,BatAge,PAge,#Bat,#P,Top Player,Managers
1978,Los Angeles Dodgers,NL West,162,95,67,0,0.586,0.607,1st of 6,--,Lost WS (4-2),727,573,3347845,30.5,28.7,38,15,R.Cey (5.4),T.Lasorda (95-67)
1979,Los Angeles Dodgers,NL West,162,79,83,0,0.488,0.514,3rd of 6,11.5,,739,717,2860954,30.4,28.3,35,17,R.Cey (5.1),T.Lasorda (79-83)
1980,Los Angeles Dodgers,NL West,163,92,71,0,0.564,0.552,2nd of 6,1,,663,591,3249287,30.4,28.2,35,13,D.Sutton (5.5),T.Lasorda (92-71)
1981,Los Angeles Dodgers,NL West,110,63,47,0,0.573,0.606,2nd of 6,4,Won WS (4-2),450,356,2381292,29.3,26.2,37,13,F.Valenzuela (5.3),T.Lasorda (63-47)
1982,Los Angeles Dodgers,NL West,162,88,74,0,0.543,0.555,2nd of 6,1,,691,612,3608881,29.2,26.8,39,15,P.Guerrero (6.8),T.Lasorda (88-74)
1983,Los Angeles Dodgers,NL West,163,91,71,1,0.562,0.533,1st of 6,--,Lost NLCS (3-1),654,609,3510313,28.1,27.1,40,16,P.Guerrero (5.5),T.Lasorda (91-71)
1984,Los Angeles Dodgers,NL West,162,79,83,0,0.488,0.484,4th of 6,13,,580,600,3134824,26.8,27.5,38,13,A.Pena (5.1),T.Lasorda (79-83)
1985,Los Angeles Dodgers,NL West,162,95,67,0,0.586,0.574,1st of 6,--,Lost NLCS (4-2),682,579,3264593,27.7,28,41,14,P.Guerrero (8.0),T.Lasorda (95-67)
1986,Los Angeles Dodgers,NL West,162,73,89,0,0.451,0.472,5th of 6,23,,638,679,3023208,28,27.8,38,14,F.Valenzuela (6.1),T.Lasorda (73-89)
1987,Los Angeles Dodgers,NL West,162,73,89,0,0.451,0.472,4th of 6,17,,635,675,2797409,28.2,27.9,48,18,B.Welch (7.4),T.Lasorda (73-89)
1988,Los Angeles Dodgers,NL West,162,94,67,1,0.584,0.565,1st of 6,--,Won WS (4-1),628,544,2980262,29,29.2,38,19,O.Hershiser (7.1),T.Lasorda (94-67)
